title2
“태극기 배경으로 AI 프로필 사진 찍으세요”
"수원 장안구 정자1동, ㈜을지케어로부터 이웃돕기 성금 지원받아"
경찰청장 취임 치안정감 인사...시도경찰청장 인사 본격화
“나라 잃은 유민” 지리산서 ‘광복 염원’ 392자 석각 발견
"서울, MZ세대가 가장 좋아하는 도시 3년 연속으로 꼽혔다"
'옥천 복숭아' 대전 시민 입맛 공략 성공
‘밀양 성폭력 사건’ 신상공개 유튜버 공범도 구속 잡고보니 공무원 아내
"군인권센터 “‘얼차려 훈련병 사망’ 수사한 군경찰, 유족 앞에서 욕설”"
[보험브리핑]삼성생명 NH농협손보 DB생명
"메디치교육센터, Chat GPT활용 데이터분석 취업희망자 무료교육 진행"
고재진 장성군의원 사직 삼계농협 조합장 보궐선거 출마
"보은군, 귀농 귀촌인 역량 강화교육"
1000개 중증수술 수가 인상 “상급종합병원 경증진료 보상 축소”
"ACC, 북아시아 초원길로 함께 산책 떠나요"
"무안군, 2024년 전국 지방자치단체 일자리대상 3년 연속 ""수상"""
"""당일 폭염 땐 실내로 장소 옮겨 공연 진행할 것"""
"광주시, 북구 구도심에 오치복합커뮤니티센터 개관"
"김경수 복권에 독립기념관장까지 尹, 연이은 악재에 '속앓이' [이슈+]"
"삼성물산 건설부문, 협력사 '환경성적표지 인증' 취득 지원 나선다"
"이복현 ""은행권 가계대출 밀착관리 편법대출 엄중 조치"""
"NMIXX(엔믹스), 미니 3집 트랙리스트 공개..타이틀곡은 ‘별별별(See that?)’"
"서울시 ""만 75세 이상 택시 면허 취득 제한, 신중히 검토"""
"[마켓인]""다시 보는 금융본산 영국"" 유럽 PE, 英 최대 금융투자플랫폼 인수"
소음‧진동 영향 체험용 시뮬레이터 개발
"[단독] ""지하말곤 충전할 곳 없어"" 인천 화재 이후 전기차 충전 2% 줄었다"
"[오후장 터닝포인트] ""중국산은 불안해서 못타겠네"" 실명제에 K배터리 주가 웃는다?"
"함양군, 경유차 배출가스 저감장치 부착지원 사업(2차) 시행"
"민주평통 보은군협의회, 국론결집 방안 주제 정기회의 개최"
"포토뉴스, 담양 메타세쿼이아 가로수길"
"보성군, 차농업 3세대(후계자) 도시락 간담회로 소통하다~"
"김성대시인, 시가 있는 아침 '사탕 같은 사람' '차 한 잔의 여유'"
"광양시, 무더운여름 ‘광양여행’으로 유쾌하게 날려버려~"
"화순군, 류현자 정선 초대 ‘사모곡 끝없는 해원(海原)’展 개막식"
"장수군, 2024년 하반기 평생교육 프로그램 수강생 선착순 모집"
"강진군, 횃불여단 마천목대대와 ‘천원택시’ 업무협약 체결"
지리산 천왕봉 절벽에 새긴 의병들의 염원
"에이피알, '메디큐브X시나모롤' 레드 라인 에디션 공개 소장욕구 'UP'"
"9개월 만에 한우 럼피스킨 발생 정부 ""특별 방역관리 방안 수립할 것"""
"[포토뉴스]영월PBA당구클럽, 창단식 열고 운영 방안 논의"
"진보당 전북자치도당, “윤석열 대통령 ‘방송4법’ 거부권 행사” 비판"
"현대건설, ‘H 트랜스포밍 월&퍼니처Ⅲ’ 공개"
"이재명, 대장동 재판 조퇴 ""민주당 당대표 방송토론회 사유로 불출석"""
행사 알림 (8월 14일)
인물 동정 (8월 14일)
강릉 주문진서 분뇨 수거 차량 전신주 충돌 1명 사망
"벤츠코리아 ""화재 조사 협력 내일부터 전기차 무상 점검""(종합)"
"고창군, 전국민 대상 관광사진 공모전 개최"
"무주군, 제28회 무주반딧불축제 먹거리 참여업소 대상 운영자 교육진행"
"고창마켓, 서울시니어스타워 웰파크몰 입점"
"고창가족센터, 찾아가는 문화교육 타문화 교류 촉진"
영동군 6 25 참전용사유족에 무공훈장전수
[이수연의 TOP10] 수급 강도 약해진 반도체 반등 하는데 시간 걸린다?
1000여 중증수술 수가 '핀셋 인상' 추진 비급여 백내장수술 등 과잉진료 제한
"국립산림과학원, 산림 토지피복지도 제작 신뢰성 85%"
[LME] 비철가격 상승 전기동 8912달러
"aT, 베트남서 차별화된 'K-푸드' 맛 집중 홍보"
"한국수력원자력, 경주시 예비 청년 창업가 지원"
"콤비로, '생성형 AI 활용 혁신 비즈니스 전략' 교육 성료"
"삼성 ""온디바이스AI 디스플레이, '저전력'이 핵심"" LG ""올해 IT OLED 비중 3배↑"""
"하이브리드 AI 시대 ""아마존 베드록으로 똑똑하게 골라 쓴다"""
"장수군가족센터,  '모국문화 체험' 여름캠프 개최"
"임실군, 금연 구역 확대 신설"
"임실군 드림스타트, 가족과 함께하는 물놀이 시간 가져"
"무주군, ‘농촌 크리에이투어-무주1614 촌캉스 프로그램' 인기"
"장수군여성단체협의회, '사랑-행복빵빵! 제빵 봉사’ 실시"
"청도군, 2024년 청도행복 헌장 운영협의회 개최"
영주시 소수박물관 개관 20주년 기념 학술대회
월성원자력본부 동경주 관성 나정 봉길 해수욕장 무료 음료 간식 나눔
안동시-안동시공무원노조 단체교섭 상견례 개최
"강릉 주문진서 분뇨 수거 차량, 전신주 충돌로 1명 사망"
"가평군, 투명페트병 무인회수기 운영 1개당 10원 적립"
"전주시, 한옥마을 맞춤형 폭염 대응 호평"
"메인비즈협회, 中 허난성 정저우시와 교류 확대하기로"
"尹대통령, '김경수 복권' 포함 광복절특사 재가"
"이복현 ""은행권 가계대출 현장점검 통해 편법대출 엄중 조치"""
"中 “대만-홍콩 합하면 금메달 44개, 우리가 사실상 올림픽 1위”"
"디퍼아이, '2024 미국 실리콘밸리 국제발명전시회'서 IFIA 최고발명 메달 수상"
"청양고추 매실 한국의 맛 입힌 롯데리아 한정 메뉴, 2030 통했다"
"부영그룹, 말복 맞아 임직원에 삼계탕 세트 전달"
"우리銀 지점 '불시검사'에 금감원 ""직원 기강잡나? 내부통제 先개선"""
"'우울증 갤러리' 또 성범죄 터져 10대 여학생 ""성폭행 당했다"""
"현대차, 국내 최초 ‘전자종이 비콘 출입증’ 도입..ESG 경영 적극 실천"
"“환+음료 한번에” 동아제약, 숙취해소 신제품 ‘모닝케어 프레스온’ 출시"
"""우리 쌀로 먹어요"" 국내 외래 벼 재배면적 축구장 7.7만개 줄어"
79주년 광복절 기념하는 호국 영웅 '택시 퍼레이드'
"“이재명 측, 댓글 알바 고용한 듯” 김경수 판결문 속 ‘드루킹 정보보고’"
"대구교육청, 가족친화적 정책 담은 미래교육정책기획단 최종보고회"
"소방청, 전기차의 대용량 리튬 배터리 화재 미인증 소화기 실태 일제 조사"
"인천시, 외국인투자 유치 기여 시민 공무원에 성과급 지급"
"부천시, R&D종합센터 준공 경제기반형 도시재생사업 완료"
"""소방공무원 심신건강 지원...심리지원단 출범"""
"의왕시, 인동선 월판선 구간 복선전철사업 본격 착공"
"명품 보컬 이광조, '더 보컬리스트' 콘서트 갖는다"
‘재산 축소’ 의혹 이상식 민주의원 불구속 송치
[윤정식 종목의 발견자들] 아시아나항공 화물 인수 참여? 현대글로비스 본업+모멘텀 붙었다
"""졸업하면 경위 임용? 안돼"" 야당서 또 꺼내든 경찰대 개혁"
"케이디시스-런제로, 사이버자산 공격 표면관리(CAASM)솔루션 시장 진출"
"인국공 자회사 노조 ""인력충원"" 공사 ""법령에 따라 검토"""
"아모레 설화수, ‘왕실문화유산 보존 활용’에 2억5000만원 기탁"
프로미스나인 신곡 'Supersonic' 음원 뮤직비디오 1위
"NH-아문디, 인도 대형주 포커스 펀드 설정 후 수익률 100% 돌파"
"김장호 구미시장, 소통 화합 리더쉽 세계자유민주연맹 '자유장' 수상"
김경수 “복권 반대한 비판에 담긴 뜻도 잘 헤아릴 것”
'2024년 DMC 빅데이터 아이디어 오디션' 성료
"이재명, 대장동 재판 조퇴 당 대표 방송토론회 사유"
"윤석열 대통령, '김경수 복권' 광복절 특사안 재가"
'평택제천 이음 1274' 업무협약
"삼성물산, 건설자재 `환경성적표지 인증` 지원"
"넷마블, '일곱 개의 대죄 키우기' 글로벌 174개국 정식 출시"
"국토부, 집값 담합 잡는다 이상거래 기획조사 돌입"
"대방건설, 수도권 유망지역 의왕시에 `의왕고천디에트르` 8월 공급 예정"
이화준 前 영주시 자치안전국장 고희연 경비 500만원 장학금 기탁
경주엑스포대공원 신라왕경숲‘아름다운 도시숲 50선’선정
"울릉도행 여객선에 전기차 못 싣는다 ""화재위험에 선적 중단"""
"펫타버스, 시리즈 A 투자 라운드서 100억 원 유치 성공"
"대구가톨릭대, 고교생 대상 미래 모빌리티 썸머캠프 개최"
"이복현 금감원장 ""은행 편법대출 엄중히 조치"""
"대방건설, 창원 진해명동 마리나항만 개발 사업 성공적 완료 유튜브 콘텐츠로 공개"
"[특징주]미래컴퍼니, 전기차 화재 근본 대책 전고체 배터리...삼성SDI 지원 연구개발↑"
당국도 절레절레  중국 ‘남성 비키니’에 외신 주목
"안산시민 88%, 안산선 철도 지하화 찬성"
"울산 앞바다에도 나타난 큰바다사자 ""피곤해서 쉬고 있어요"""
"이재명, 대장동 재판 조퇴 ""공중파 녹화방송 있어 불가피"""
‘광복절 특사’ 김경수 조윤선 복권 이동채 前에코프로 회장 사면
달러 매입하는 러시아 금융결제망 막히자 무역거래도 현금으로
안동시 2024년 안동시 에이스(ACE)기업 모집
"""산모 회복과 신생아 건강 지원"" 속초시, 공공산후조리원 착공"
"추경호 ""김경수 복권, 대통령 고유권한 통치행위로 존중해야"""
"삼성물산 건설부문, 협력사 환경성적표지 저탄소제품 인증 취득 지원"
"이천시, 관고동 공영주차장 도비 20억 확보 쾌거"
"카카오엔터 불법유통대응팀, 불법물 총 2억7000만건 삭제"
"정현정 작가, CICA 시카 미술관서 열세번째 개인전 ‘변칙적 층위의 절제와 생동사이’ 개최"
"“사이버 침해 사고, 24시간 내 신고” 정보통신망법 개정안 시행"
티몬 앞 뒤덮은 티메프 피해자들의 검은우산 [쿠키포토]
[포토] 광복절 앞두고 태극기 택시 카퍼레이드
"동두천시 생연2동 새마을남녀지도자, 저소득층 대상 삼계탕 나눔"
"오아시스, 2분기 영업익 73억 역대 최대치 경신"
"경북도, 온실가스 배출량 43% 감축 '경북형 탄소중립 프로젝트' 추진"
‘복권’ 김경수 “사회 보탬 되는 역할 고민하겠다”
尹 노란봉투법 거부에 노동계 반발...정권 퇴진 투쟁 예고
[신간] 당신은 맛있는 점심을 먹었나요? '런치의 시간'
[포토] 올림픽로 달리는 태극기 택시
[포토] '태극기 휘날리며'
"""딱 죽을 맛, 우리도 국민입니다"" 식용종식 맞은 개 농가, 정부에 수십차례 만나자했지만"
코로나19 재확산 비상 “방학 휴가 끝나는 8월말 절정”
"[뉴스나우] 경찰, '음주운전' BTS 슈가 곧 소환...포토라인 서나?"
수출입물가 두달째 오름세
"정부, 노란봉투법 25만원법 거부권 의결"
"외국인, 국내 주식은 사고 채권은 팔아"
해석 구구한 안보라인 깜짝 연쇄교체
"공주시, 여름철 코로나19 재유행 대비 적극 대응"
김형석 관장 임명과정 ‘불투명’ 논란
‘간부 사망’ 안팎으로 시끄러운 권익위
"공주소방서, 토 일요일 오후 3시 익수사고 주의 당부"
민심 앞세워 윤 대통령과 차별화하는 한동훈
"국립공주대, 베트남 학생 대상 한국 문화 확산 위한 해외봉사"
‘코로나19’ 재유행에 곳곳서 혼란
"‘36주 낙태’ 동영상, 사실이었다"
"인권단체, 국가인권위원장 지명철회 요구"
"“범죄예방 강화, 국민체감안전 높일 것”"
"혁신당 “거대양당, 금투세 무책임 말잔치만”"
신생아 딸 유기한 엄마 14년 만에 잡혀
똥파리 수박 이어 ‘명팔이’ 등장한 전당대회
"임명강행 거부권, 입법강행 탄핵 ‘무성과 쳇바퀴 정치’ 반복"
LH 감리입찰 뒷돈
심우정 후보자 “정치적 중립 위해 최선”
서정진 셀트리온 회장 혼외자 생모 ‘공갈 혐의’ 송치
[포토] 태극기 장식하는 택시기사들
"청송군, 청소년수련관 야외 문화 체육시설 확충사업 설계용역 최종보고회 개최"
"공수처, ‘VIP 격노설’ 규명 급물살 타나"
"티메프 자구안 실효성 논의, 13일 공개"
"대법 ""수도시설 신설 증설 원인만 제공해도 부담금 부과 가능"""
오피스 시장에 ‘대기업 리츠’ 주목
300억원 일반사기 최고 무기징역
전기차 화재에 ‘마이배터리’ 등록 급증
컨테이너해상운임 5주 연속 하락
국유림법 개정으로 “국유림 내 벌통 설치 가능”
"공주시, '2024 충남공주시민대학' 2학기 수강생 모집"
거실벽 열면 새로운 공간이
<부고> 배영식씨(KB증권 글로벌파생상품부장) 빙모상
"'청렴포천' 실현에 한뜻 포천시, 청렴 거버넌스 구축 협약"
"광양제철소 파트너사협회, 포항시에 고향사랑 기부금 전달"
"천안시, 부산 여행사 관계자 팸투어 추진"
'드루킹 댓글조작' 김경수 복권 법무장관 “정치 갈등 일단락”
"건양대병원, 다빈치 SP 유방암 로봇수술 중부권 최초 성공"
[동정] 천안시장
"정재욱 충남대병원 교수, 글로벌 의사과학자 양성사업 선정"
천안시 '노인의료 돌봄 통합지원 시범사업' 전국서 벤치마킹
"‘혈액수급 비상’ 광주시, ‘사랑의 헌혈’ 캠페인"
"SM, TV조선과 손잡고 5인조 '트롯 아이돌' 선보인다"
"코스맥스, 업계 최초 반기 ODM 매출 '1조원' 시대 열었다"
"정부, 오늘부터 강남3구 마용성 ‘집값 띄우기’ 기획조사"
K-해운 친환경선박 전환 손잡아
HUG 든든전세주택 경쟁률 89대 1
"팬오션, 친환경 LNG운반선 인수"
‘부동산 PF 애로 신고센터’ 개설
"LH, 유지보수서비스 플랫폼 구축"
"난방공사, 취약시설 에너지효율 개선"
"KGM, 액티언 양산 기념행사 개최"
사이클 최적화 ‘갤럭시 워치 울트라’ 체험
"KT, LG전자와 6G 기술 연구 협력"
"LG전자, 인공지능가전 서바이벌 쇼 제작"
안양시 59억 규모 안양청년창업펀드 2호 운영...투자기업 5개 선정
"서울시, 9~12세 자녀 둔 직원 1년간 하루 2시간 유급휴가 추진"
대구한의대 문경 세계 태권도 한마당에 선수 트레이너 파견
